,Time,Lat,Lon,MIC Unscaled,MIC,RADS GIM,Uncorrected
51,2024-01-22 05:36:12,68.999259,45.549583,-0.06697421278077625,-0.07031304977749663,-0.0683,-0.0803
52,2024-01-22 05:36:13,68.942597,45.530077,0.03968079779482726,0.03632817764653661,0.0383,0.0263
53,2024-01-22 05:36:14,68.885934,45.510649,0.056037825106138896,0.052670916503913146,0.0546,0.0426
54,2024-01-22 05:43:25,42.873736,40.350144,0.34187757148372255,0.32695013818675045,0.3373,0.2823
55,2024-01-22 05:43:26,42.816627,40.34246,0.3578136224653411,0.34290221188769987,0.3533,0.2983
56,2024-01-22 05:43:29,42.645296,40.319449,0.32730054591342655,0.3124425226413878,0.323,0.268
57,2024-01-22 05:43:30,42.588184,40.311792,0.31103988668599636,0.296197061861104,0.3068,0.2518
58,2024-01-22 05:43:31,42.531072,40.304142,0.2477806713553377,0.2329526832026452,0.2436,0.1886
59,2024-01-22 05:43:37,42.131266,40.250779,0.23698747143860818,0.22225800132522444,0.2342,0.1782
60,2024-01-22 05:43:38,42.074148,40.243182,0.23213535941174432,0.21741894620527383,0.2294,0.1734
61,2024-01-22 05:43:40,41.959911,40.228008,0.24343298286621923,0.22874222057193672,0.2408,0.1848
62,2024-01-22 05:43:41,41.902791,40.220431,0.2567823520571358,0.2421042755438702,0.2542,0.1982
63,2024-01-22 05:48:37,23.937833,38.06794,0.1719789203193421,0.15121322739192805,0.1701,0.0891
64,2024-01-22 05:48:38,23.880541,38.061585,0.19428632179721744,0.17351877439563582,0.1934,0.1114
65,2024-01-22 05:48:39,23.823249,38.055232,0.2005937179537819,0.17982431741131152,0.1997,0.1177
66,2024-01-22 05:48:40,23.765956,38.048881,0.20080225085196846,0.1799806014371392,0.1997,0.1177
67,2024-01-22 05:48:41,23.708663,38.042533,0.2064072824321504,0.18553426141621832,0.2051,0.1231
68,2024-01-22 05:48:42,23.65137,38.036186,0.17031478026010133,0.1494398806290491,0.169,0.087
69,2024-01-22 05:48:43,23.594076,38.029842,0.14636837756528487,0.12535477159490546,0.1445,0.0625
70,2024-01-22 05:48:44,23.536782,38.0235,0.14445894976863413,0.12344770597586849,0.1426,0.0606
71,2024-01-22 05:48:46,23.422192,38.010821,0.18807412954025016,0.16705908238620915,0.1862,0.1042
72,2024-01-22 05:48:48,23.307601,37.998151,0.20723723769997104,0.18608110121845534,0.2048,0.1228
73,2024-01-22 05:48:49,23.250305,37.991819,0.1621449256929728,0.14098686294961288,0.1597,0.0777
74,2024-01-22 05:48:50,23.193008,37.985489,0.2146320450940059,0.19342709872803548,0.212,0.13
75,2024-01-22 05:48:51,23.135712,37.979161,0.2099350043719461,0.18867920562968704,0.2071,0.1251
76,2024-01-22 05:48:52,23.078414,37.972835,0.2612426980024312,0.23998497158583065,0.2584,0.1764
77,2024-01-22 05:48:53,23.021117,37.966511,0.24355785090847004,0.2221961060305827,0.2403,0.1583
78,2024-01-22 05:48:54,22.90652,37.953869,0.3009791523047296,0.27951184843318133,0.2973,0.2153
79,2024-01-22 05:48:55,22.849222,37.947552,0.29128700339434177,0.2698177323963469,0.2876,0.2056
80,2024-01-22 05:48:56,22.791922,37.941236,0.26948218916616073,0.2480141243950773,0.2658,0.1838
81,2024-01-22 05:48:57,22.734623,37.934922,0.28507199822813295,0.26353132046975064,0.2821,0.1991
82,2024-01-22 05:48:58,22.677323,37.92861,0.28107993410328425,0.2595372679750503,0.2781,0.1951
83,2024-01-22 05:48:59,22.620023,37.9223,0.2865563783242122,0.26499455874644307,0.2835,0.2005
