,Time,Lat,Lon,MIC Unscaled,MIC,RADS GIM
0,2024-01-22 08:07:06,46.883084,37.557874,-0.003682664105194744,-0.01936641643898218,-0.004599999999999993
1,2024-01-22 08:07:07,46.825033,37.534726,-0.0036613282253949997,-0.019349252059655098,-0.004500000000000004
2,2024-01-22 08:07:08,46.766979,37.511619,-0.003660147386767343,-0.019348302093573633,-0.004500000000000004
3,2024-01-22 08:07:09,46.708921,37.488552,-0.003582033130218487,-0.01928546040422957,-0.004500000000000004
4,2024-01-22 08:07:10,46.650859,37.465525,-0.003580618183490092,-0.01928432210186748,-0.004500000000000004
5,2024-01-22 08:07:11,46.592794,37.442539,-0.003582477265393569,-0.019285817703984243,-0.004400000000000015
6,2024-01-22 08:07:12,46.534725,37.419592,-0.0035620198438591766,-0.019269360030498783,-0.0043999999999999595
7,2024-01-22 08:07:13,46.476652,37.396686,-0.0035084963274496506,-0.019226301204371465,-0.0043999999999999595
8,2024-01-22 08:07:14,46.418576,37.37382,-0.0034544683592210856,-0.019182836554699156,-0.004300000000000026
9,2024-01-22 08:07:15,46.360496,37.350993,-0.003376308013080087,-0.01913950936168407,-0.004400000000000015
10,2024-01-22 08:07:16,46.302412,37.328205,-0.003367858048896888,-0.019132711498558608,-0.004400000000000015
11,2024-01-22 08:07:17,46.244324,37.305457,-0.003331254500745562,-0.019103264520459573,-0.0042999999999999705
12,2024-01-22 08:07:18,46.186233,37.282747,-0.003329899758110433,-0.019102174651342507,-0.004300000000000026
13,2024-01-22 08:07:19,46.128139,37.260077,-0.0032781396054663015,-0.019060534423597064,-0.0042999999999999705
14,2024-01-22 08:07:20,46.07004,37.237446,-0.0033391032480573624,-0.01912913028875929,-0.004300000000000026
15,2024-01-22 08:07:21,46.011938,37.214853,-0.0031241054247831967,-0.018956167925462952,-0.0042999999999999705
16,2024-01-22 08:07:22,45.953833,37.192299,-0.0029942059156011225,-0.018851665815827645,-0.0042999999999999705
17,2024-01-22 08:07:23,45.895724,37.169782,-0.0029167573050413176,-0.018789359628200053,-0.004300000000000026
18,2024-01-22 08:07:24,45.837611,37.147305,-0.0029418012284734285,-0.018829058644919516,-0.004300000000000026
19,2024-01-22 08:07:25,45.779495,37.124865,-0.0029351202521271103,-0.018823683904652888,-0.0042999999999999705
20,2024-01-22 08:07:26,45.721375,37.102463,-0.0030445624990977915,-0.01893128004365563,-0.004400000000000015
21,2024-01-22 08:07:27,45.663252,37.080098,-0.0029170350983797055,-0.01882868625792644,-0.004300000000000026
22,2024-01-22 08:07:28,45.605125,37.057772,-0.0029381532115772546,-0.01886522702213117,-0.004400000000000015
23,2024-01-22 08:07:29,45.546995,37.035482,-0.002933406222053736,-0.018861408143809377,-0.004400000000000015
24,2024-01-22 08:07:30,45.488861,37.01323,-0.0030314074706503935,-0.01895980017977933,-0.0043999999999999595
25,2024-01-22 08:07:37,45.081828,36.858496,-0.003141167986692006,-0.01912630708527796,-0.004599999999999993
26,2024-01-22 08:07:38,45.023666,36.836536,-0.0032121569168586106,-0.019202968136428522,-0.0047000000000000375
27,2024-01-22 08:07:39,44.965502,36.814613,-0.002998490666782816,-0.019031077002802266,-0.0047000000000000375
28,2024-01-22 08:07:41,44.849162,36.770873,-0.0030440145405466468,-0.01908725181706994,-0.004699999999999982
29,2024-01-22 08:07:42,44.790987,36.749056,-0.003040358979703228,-0.019103862550614803,-0.0048000000000000265
30,2024-01-22 08:07:43,44.732809,36.727275,-0.003062713580395504,-0.01912184647485826,-0.004699999999999982
31,2024-01-22 08:07:44,44.674628,36.705529,-0.0031633971153785523,-0.01922239636798867,-0.0048000000000000265
32,2024-01-22 08:07:45,44.616443,36.683818,-0.003160710813283285,-0.019220235280253684,-0.004799999999999999
33,2024-01-22 08:07:46,44.558255,36.662141,-0.003116815646322324,-0.019184922309642027,-0.004799999999999999
34,2024-01-22 08:07:47,44.500063,36.6405,-0.0031027616404039615,-0.01917361608318635,-0.0048000000000000265
35,2024-01-22 08:07:48,44.441869,36.618894,-0.002945889287797182,-0.01904741474575175,-0.004799999999999999
36,2024-01-22 08:07:49,44.383671,36.597321,-0.0030671318232166622,-0.01916450403099476,-0.004799999999999999
37,2024-01-22 08:07:50,44.325469,36.575784,-0.0030679885234398685,-0.019165193232834055,-0.004799999999999999
38,2024-01-22 08:07:51,44.267265,36.55428,-0.0030651133926002105,-0.01916288023534765,-0.0048000000000000265
39,2024-01-22 08:07:52,44.209057,36.532811,-0.0030078712943706343,-0.019116829868701807,-0.004799999999999999
40,2024-01-22 08:07:53,44.150846,36.511375,-0.0029051922847598,-0.019014674647655716,-0.00470000000000001
41,2024-01-22 08:07:54,44.092632,36.489974,-0.0029068879757688237,-0.019016038804370777,-0.00470000000000001
42,2024-01-22 08:07:55,44.034414,36.468606,-0.002749389838192895,-0.018889334032782645,-0.004699999999999982
43,2024-01-22 08:07:56,43.976193,36.447272,-0.0025136505889077065,-0.01869968551887155,-0.004699999999999982
44,2024-01-22 08:07:57,43.917969,36.425971,-0.0024084669392238356,-0.018615066929006774,-0.004599999999999993
45,2024-01-22 08:07:58,43.859742,36.404703,-0.002405033935619749,-0.018612305131666118,-0.004600000000000021
46,2024-01-22 08:07:59,43.801512,36.383469,-0.0024179613105183295,-0.018622705001207246,-0.004599999999999993
47,2024-01-22 08:08:00,43.743279,36.362268,-0.002199890758575601,-0.018427719101402673,-0.004500000000000004
48,2024-01-22 08:08:01,43.685042,36.341099,-0.0021144884328817004,-0.01835901427519529,-0.004500000000000004
