                    Time        Lat         Lon  Unscaled      IMIC RADS GIM
74   2016-05-09 21:05:00  -9.640726   192.04714 -0.003574 -0.018669   -0.004
75   2016-05-09 22:07:00    47.9772  348.511227 -0.005733 -0.009588  -0.0034
76   2016-05-09 22:44:00   -1.06579  168.714237  0.001665 -0.012578   0.0024
77   2016-05-09 23:39:00  16.541424   332.57288  0.002158 -0.005577  -0.0015
78   2016-05-10 00:29:00 -16.587127  139.956011 -0.004919 -0.011505  -0.0007
79   2016-05-10 01:25:00  35.301709   302.43161  -0.00534 -0.010179  -0.0033
80   2016-05-10 02:15:00 -35.074607   109.89227 -0.006887 -0.011108  -0.0048
81   2016-05-10 04:41:00  13.905168  257.448482  0.008597  0.003351    0.007
82   2016-05-10 06:22:00  14.182977  232.137533 -0.030513 -0.037457  -0.0337
83   2016-05-10 08:02:00  12.042505  207.381819 -0.014686 -0.021804  -0.0081
84   2016-05-10 09:43:00  11.499331   182.25826 -0.009316 -0.014665   0.0054
85   2016-05-10 10:45:00  -51.31323  337.710576 -0.004442 -0.008148  -0.0018
86   2016-05-10 11:24:00   9.067494  157.562067  0.000339 -0.006301   0.0045
87   2016-05-10 12:11:00   0.634825  327.117429   0.00561 -0.007719   0.0034
88   2016-05-10 13:11:00  30.693646  127.027181 -0.004009 -0.009254  -0.0019
89   2016-05-10 15:41:00 -27.055557  270.151971 -0.000836 -0.008153   0.0022
90   2016-05-10 17:28:00 -48.608301  237.926607 -0.003432 -0.006909   0.0002
91   2016-05-10 20:40:00 -12.286408  197.991414 -0.001157 -0.015018  -0.0061
92   2016-05-10 23:13:00  16.826047  339.051491 -0.000011 -0.003283  -0.0007
93   2016-05-11 00:01:00    -8.5516  148.345482  0.001601 -0.011411   0.0001
94   2016-05-11 00:56:00  26.423492  311.441149 -0.001854 -0.006229    0.002
95   2016-05-11 01:45:00  -19.09771  120.659014 -0.003261 -0.009629  -0.0001
96   2016-05-11 04:14:00   11.18068  264.617881  0.004837 -0.002768   0.0009
97   2016-05-11 07:36:00  11.029731  214.158462 -0.016744 -0.026347  -0.0126
98   2016-05-11 09:17:00  11.963166  188.698479 -0.002245  -0.00956   0.0075
99   2016-05-11 10:17:00 -44.487094  347.087703 -0.005895  -0.01022  -0.0047
100  2016-05-11 10:58:00  12.248496  163.386087 -0.005877 -0.010331   0.0056
101  2016-05-11 11:45:00   0.702989  333.678297 -0.000001 -0.013348  -0.0012
102  2016-05-11 13:38:00 -40.169637  298.111155 -0.004016 -0.008294  -0.0014
103  2016-05-11 15:17:00 -35.544964  274.325109 -0.000567 -0.006156      0.0
104  2016-05-11 16:59:00  -36.80924    248.6932 -0.004069 -0.009259  -0.0023
105  2016-05-11 17:45:00  20.512398    60.45557  0.006638  0.000607   0.0004
106  2016-05-11 18:40:00 -39.184123  222.693582 -0.000677 -0.005362   0.0023
107  2016-05-11 20:14:00 -12.278163  204.539091 -0.005446 -0.017315  -0.0013
108  2016-05-11 21:55:00 -11.856912  179.389087  0.001649 -0.010072   0.0009
109  2016-05-11 22:51:00  31.890768  341.758053 -0.004544 -0.008879  -0.0009
110  2016-05-11 23:32:00  -0.743561  156.630337 -0.005929 -0.021453  -0.0103
111  2016-05-12 00:27:00  16.512085  320.424447 -0.004493 -0.008587   0.0009
112  2016-05-12 01:17:00 -11.956722  128.873088 -0.001081 -0.009543  -0.0003
113  2016-05-12 03:09:00 -51.586606   91.664375 -0.003634 -0.007594   -0.003
114  2016-05-12 03:48:00  12.473204  270.868478  0.004617  0.000794   0.0068
115  2016-05-12 04:51:00 -53.864634   65.296797 -0.002458 -0.006371  -0.0006
116  2016-05-12 05:30:00  13.931302  245.287328 -0.023064 -0.028046  -0.0266
117  2016-05-12 06:31:00 -51.322191   41.295334 -0.010335 -0.014084  -0.0051
118  2016-05-12 07:10:00  13.030075  220.247562 -0.005437 -0.012544  -0.0086
119  2016-05-12 08:51:00  12.840825  195.043596 -0.001695 -0.008937    0.001
120  2016-05-12 09:52:00 -50.491118  351.180002 -0.006137 -0.009215  -0.0032
121  2016-05-12 10:32:00  10.053764  170.431038 -0.001033 -0.006797   0.0143
122  2016-05-12 11:22:00  -8.978932  338.068508   0.00044 -0.008782   0.0008
123  2016-05-12 12:12:00   7.562436  145.745106 -0.001338 -0.007815  -0.0016
124  2016-05-12 13:00:00   0.601364  314.955119 -0.000024 -0.013199  -0.0071
125  2016-05-12 14:53:00 -43.347002  278.313427 -0.006706 -0.010524   -0.005
126  2016-05-12 16:33:00 -38.321409  254.765728   -0.0048 -0.009648  -0.0032
127  2016-05-12 17:19:00  21.625407   66.729614 -0.002821 -0.008588  -0.0015
128  2016-05-12 18:16:00 -45.454606  227.036776 -0.003184 -0.007259   -0.002
129  2016-05-12 19:49:00 -18.932739  209.529469 -0.002503 -0.011548  -0.0018
130  2016-05-12 21:28:00  -9.131398  186.552734 -0.001091 -0.014252  -0.0023
131  2016-05-12 22:27:00  39.788939   345.90895 -0.006228 -0.011112  -0.0033
132  2016-05-12 23:06:00  -0.201663  163.296131  0.003634 -0.009742   0.0007
133  2016-05-13 00:01:00  16.915543   326.87524  -0.00695 -0.011515  -0.0062
