,Time,Lat,Lon,Unscaled,IMIC,RADS GIM
0,2016-05-20 17:11:00,21.547566999999997,68.62093,0.0025994085963025326,-0.0021015676054782217,0.0058
1,2016-05-21 02:32:00,-41.204245,104.207224,-0.006998284798236705,-0.011091120493574127,-0.0052
2,2016-06-05 19:28:00,-23.568029,214.013841,0.0086647030572743,0.0007809781660574611,0.0068000000000000005
3,2016-06-15 20:06:00,-13.157777999999999,206.214412,-0.0017607139645028635,-0.016543845666379967,-0.003699999999999995
4,2016-07-01 08:55:00,12.673008,194.153493,0.001461086955694746,-0.005141668667294735,0.0015000000000000013
5,2016-07-11 12:04:00,0.589911,328.98688500000003,-0.0015945250298814856,-0.013894088294871501,-0.0063
6,2016-07-17 08:40:00,12.771759999999999,197.87575800000002,0.003934988744906165,-0.005033826847231082,0.0032999999999999974
7,2016-07-27 17:48:00,20.424899,59.554559999999995,-0.001518798860514526,-0.0055443680933189715,-0.0023999999999999994
8,2016-07-28 07:14:00,12.766235,219.384834,-0.0004711764790493178,-0.004632662577244179,0.0003999999999999976
9,2016-07-29 00:53:00,-8.789152999999999,135.21246,0.003414035776991703,-0.004731887259245227,0.0023999999999999994
10,2016-08-07 10:38:00,-52.269877,339.143654,-0.005591160959843369,-0.008468242549062518,-0.004799999999999999
11,2016-08-11 01:14:00,34.150110999999995,305.590819,-0.0047170863512325245,-0.008743014989301884,-0.0012000000000000066
12,2016-08-13 07:00:00,14.721048999999999,222.67234100000002,-0.002008348882498401,-0.008092842647936582,0.0
13,2016-08-15 09:28:00,11.800343,185.939769,-0.00822906241131345,-0.013973416137066777,-0.008300000000000002
14,2016-08-17 22:51:00,0.5461349999999999,167.209675,0.00911511211968765,-0.004907412209182862,0.008599999999999997
15,2016-08-19 01:05:00,30.891873,308.38704,-0.00478919489441236,-0.009303679392864847,-0.0034000000000000002
16,2016-08-27 10:17:00,-44.423570999999995,347.126448,-0.004694234217384512,-0.008766932955353204,-0.005299999999999999
17,2016-08-28 22:27:00,39.748308,345.936433,-0.0036834963403531984,-0.007821409807480278,-0.0005999999999999894
18,2016-09-16 18:23:00,-45.326206,225.210724,0.0032060553591779922,-0.0007617688773831413,0.009099999999999997
19,2016-09-21 08:29:00,12.431028,200.74466,-0.017889542238738065,-0.02406193118484587,-0.017100000000000004
20,2016-09-29 22:01:00,53.037506,348.083543,-0.007491570100195272,-0.008018015662903735,-0.004699999999999996
21,2016-10-05 20:03:00,-15.470402,206.60602400000002,0.002469877229890921,-0.008940758807778768,0.006599999999999995
22,2016-10-07 01:38:00,41.472836,297.655305,-0.004009593448087698,-0.006169246730861139,0.0011000000000000038
23,2016-10-13 16:38:00,-30.217026999999998,255.280889,0.00941617202432532,-0.0050682899573144535,0.002699999999999994
24,2016-11-21 07:07:00,14.370045999999999,220.88313200000002,0.00027000037874021915,-0.0029347229992462004,-9.999999999999593e-05
25,2016-11-24 16:51:00,-35.372593,251.01151900000002,0.008489638033982576,-0.003827588579510264,0.0038
26,2016-11-28 15:07:00,-38.022379,276.379663,0.013289168369567825,0.003763318639804017,0.016299999999999995
27,2016-12-04 06:30:00,14.008675,230.317332,0.00487609279648657,0.0003688933894369015,0.001799999999999996
28,2016-12-08 18:16:00,27.347315,51.26115,0.0015406987135478875,-0.0021615644278486987,0.0007999999999999986
29,2016-12-12 17:28:00,-48.529424,237.973061,0.0012868778661034863,-0.0035793649444384734,0.004899999999999988
30,2016-12-16 20:36:00,-13.506416,198.65153,-0.0016612163507713773,-0.011575245856565997,-0.0007999999999999952
31,2017-01-01 10:26:00,-51.335459,342.376724,-0.004960422282770105,-0.009879699350052895,-0.0012000000000000066
32,2017-01-10 11:22:00,-9.181628,338.028184,-0.0022125792061840274,-0.01133930812626362,-0.008199999999999999
33,2017-01-11 17:50:00,-45.583858,233.536101,-0.007684492950307362,-0.011864171368355228,-0.005600000000000008
34,2017-01-18 03:43:00,21.547473999999998,270.600906,0.0025119973029001375,-0.001310164587658036,0.002600000000000005
35,2017-01-19 20:54:00,-9.87032,194.807339,0.002141462032934645,-0.010921187836721462,-0.006899999999999996
36,2017-01-21 10:06:00,-44.425745,349.921789,-0.005722174373023636,-0.01230745589516126,-0.0058
37,2017-01-21 15:07:00,-38.170057,276.326045,0.0064694088503271935,0.00020069958673415988,0.006699999999999998
38,2017-01-23 19:14:00,-24.217515,217.587802,0.0055813220232203975,-0.002998463514519989,0.00449999999999999
39,2017-01-26 21:13:00,-9.14621,190.296927,-0.00043980147003098297,-0.01283479781862477,-0.0006999999999999992
40,2017-01-31 08:06:00,12.106054,206.440988,0.0014497828573861657,-0.0016247751282740409,9.99999999999994e-05
41,2017-01-31 10:49:00,-51.087592,336.890655,-0.002985195398724552,-0.00894862606853676,-0.0021000000000000003
42,2017-02-03 05:07:00,14.414722,250.794928,0.001736866925475377,-0.0010621486714509458,0.005500000000000001
43,2017-02-03 12:38:00,-1.181322,320.17898,0.005596459017404375,-0.005462975819630747,0.0019000000000000006
44,2017-02-05 11:45:00,0.719787,333.691224,0.0026536628690851747,-0.0065079553667643075,-0.0001999999999999988
45,2017-02-06 09:52:00,-50.306065999999994,351.274346,-0.009130769976060854,-0.013636529089261482,-0.00810000000000001
46,2017-02-11 23:31:00,16.879834,334.374891,-0.005154021521472851,-0.010557344185049508,-0.0114
47,2017-02-20 01:09:00,31.622514,307.250621,0.0036991042255548334,0.0003203763672303128,0.005199999999999996
48,2017-02-23 17:35:00,-45.031068,237.50048500000003,-0.013905139986058745,-0.018689109794357617,-0.009500000000000008
