,Time,Lat,Lon,MIC Unscaled,MIC,RADS GIM
0,2024-01-22 00:30:22,-54.955089,334.89256,-0.005954906149142639,-0.012436660983293699,-0.010999999999999996
1,2024-01-22 00:30:23,-54.897954,334.861649,-0.005830520129745678,-0.012316192768616584,-0.0109
2,2024-01-22 00:30:24,-54.840813,334.830813,-0.00575850191467215,-0.012239679060971259,-0.010800000000000004
3,2024-01-22 00:30:25,-54.783665,334.800052,-0.005638130390926869,-0.0121225803818252,-0.010800000000000004
4,2024-01-22 00:30:26,-54.72651,334.769366,-0.005445014264329584,-0.011928358307132458,-0.010599999999999998
5,2024-01-22 00:30:27,-54.669348,334.738754,-0.005283793064265449,-0.011776972771621111,-0.010600000000000012
6,2024-01-22 00:30:28,-54.612181,334.708216,-0.005243770607464171,-0.01172731445346812,-0.010500000000000002
7,2024-01-22 00:30:29,-54.555007,334.677752,-0.005207167697686962,-0.0116805263053682,-0.010399999999999993
8,2024-01-22 00:30:30,-54.497826,334.647361,-0.005085360715806175,-0.011562222785661713,-0.010399999999999993
9,2024-01-22 00:30:31,-54.440639,334.617043,-0.004985360409839254,-0.011462222528850749,-0.01029999999999999
10,2024-01-22 00:30:32,-54.383446,334.586797,-0.004866768553734371,-0.011346617599821293,-0.01029999999999999
11,2024-01-22 00:30:33,-54.326246,334.556624,-0.004765353856034604,-0.011245430184370214,-0.010199999999999987
12,2024-01-22 00:30:34,-54.26904,334.526523,-0.004695055581091456,-0.011170360095023035,-0.010200000000000015
13,2024-01-22 00:30:35,-54.211828,334.496493,-0.0045983966857837955,-0.01107316442511841,-0.010099999999999998
14,2024-01-22 00:30:36,-54.154609,334.466535,-0.004459522803608673,-0.010940535936116574,-0.010000000000000009
15,2024-01-22 00:30:37,-54.097384,334.436647,-0.004388190177365692,-0.010864597672094689,-0.009999999999999981
16,2024-01-22 00:30:38,-54.040153,334.40683,-0.004190673355925295,-0.010666681908599734,-0.009800000000000003
17,2024-01-22 00:30:39,-53.982916,334.37708299999997,-0.0041487242774426725,-0.010615406495605106,-0.009800000000000003
18,2024-01-22 00:30:40,-53.925672,334.347406,-0.004111978014254808,-0.010568498024941003,-0.009699999999999986
19,2024-01-22 00:30:41,-53.868423,334.317799,-0.0040128452649154656,-0.010469225945000937,-0.009599999999999997
20,2024-01-22 00:30:42,-53.811167,334.288261,-0.0039167961825606334,-0.01037254211682942,-0.009599999999999997
21,2024-01-22 00:30:43,-53.753906,334.25879199999997,-0.003812806394968546,-0.010269193319814962,-0.009499999999999995
22,2024-01-22 00:30:44,-53.696638,334.229391,-0.0037946342613395037,-0.010253940681563281,-0.009599999999999997
23,2024-01-22 00:30:45,-53.639364,334.200058,-0.0037036307781314823,-0.010161491837577995,-0.009500000000000001
24,2024-01-22 00:30:46,-53.582084,334.170794,-0.003603630559871493,-0.010061491654383185,-0.0094
25,2024-01-22 00:30:47,-53.524798,334.141597,-0.003531844653570838,-0.009985172933289658,-0.0094
26,2024-01-22 00:30:48,-53.467507,334.112467,-0.0034225923754425485,-0.009877407105997419,-0.009300000000000001
27,2024-01-22 00:30:49,-53.410209,334.08340499999997,-0.003341248374858618,-0.009793065873213502,-0.0093
28,2024-01-22 00:30:50,-53.352905,334.054408,-0.0032437930079626557,-0.009695201691109824,-0.0092
29,2024-01-22 00:30:51,-53.295596,334.025479,-0.0032296252989862054,-0.009683310135374866,-0.009199999999999998
30,2024-01-22 00:30:52,-53.238281,333.996615,-0.003115341743920348,-0.009571321345130694,-0.009199999999999998
31,2024-01-22 00:30:53,-53.180959,333.967817,-0.0029844325356758288,-0.009445377942907087,-0.009099999999999999
32,2024-01-22 00:30:54,-53.123632,333.939085,-0.0028746549018196267,-0.00933717116239301,-0.0091
33,2024-01-22 00:30:55,-53.066299,333.910417,-0.0028778232761805037,-0.00933983051263547,-0.0091
34,2024-01-22 00:30:56,-53.008961,333.881815,-0.0027948711712829817,-0.009254139530071651,-0.009000000000000001
35,2024-01-22 00:30:57,-52.951617,333.853277,-0.0028206189244493612,-0.009259684923318315,-0.008900000000000002
36,2024-01-22 00:30:58,-52.894266,333.824803,-0.0027620179079116945,-0.009194432836338784,-0.0088
37,2024-01-22 00:30:59,-52.836911,333.796393,-0.0027826986669789514,-0.009211791069734049,-0.008800000000000002
38,2024-01-22 00:31:00,-52.779549,333.768047,-0.0026875854646550234,-0.009115892765147697,-0.008700000000000001
39,2024-01-22 00:31:01,-52.722182,333.739764,-0.002612022911420153,-0.009036404144984092,-0.008600000000000003
40,2024-01-22 00:31:02,-52.664809,333.711544,-0.0026121118612315065,-0.009036478804312648,-0.0086
41,2024-01-22 00:31:03,-52.607431,333.683387,-0.0025477301994642695,-0.008966374777965518,-0.0085
42,2024-01-22 00:31:04,-52.550047,333.65529300000003,-0.002502461508701745,-0.008928378856384547,-0.008500000000000008
43,2024-01-22 00:31:05,-52.492657,333.62726,-0.002412571769518146,-0.008836864824736473,-0.008400000000000005
44,2024-01-22 00:31:06,-52.435262,333.59929,-0.002302472675743697,-0.008728388229353887,-0.008300000000000002
45,2024-01-22 00:31:07,-52.377862,333.571381,-0.002302562121592064,-0.008728463305027231,-0.008300000000000002
46,2024-01-22 00:31:08,-52.320456,333.543533,-0.0022039096813555314,-0.0086295943687765,-0.008200000000000013
47,2024-01-22 00:31:09,-52.263044,333.515747,-0.002104009674178342,-0.008529678296970378,-0.008100000000000024
48,2024-01-22 00:31:10,-52.205627,333.488021,-0.002104109674002125,-0.008529762231040433,-0.00810000000000001
