,Time,Lat,Lon,MIC Unscaled,MIC,RADS GIM,Uncorrected
48,2024-01-22 06:26:03,-68.363983,212.894304,0.04837555566239271,0.03522753959045108,0.0324,-0.0236
49,2024-01-22 06:26:04,-68.307623,212.875731,0.04907879522373394,0.03593018737026053,0.0331,-0.0229
50,2024-01-22 06:26:06,-68.194899,212.838803,0.10065965644021994,0.08749627739722017,0.0846,0.0286
51,2024-01-22 06:26:07,-68.138534,212.820445,0.06301106085920775,0.04983829159864313,0.0469,-0.0091
52,2024-01-22 06:26:08,-68.082167,212.802158,0.06733057711421668,0.05413597541863639,0.0511,-0.0049
53,2024-01-22 06:26:09,-67.969427,212.765793,0.041803542386790016,0.028522542539114393,0.0261,-0.0309
54,2024-01-22 06:26:10,-67.913055,212.747713,0.04040284782827963,0.02710370752265659,0.0246,-0.0324
55,2024-01-22 06:26:11,-67.856681,212.729702,0.04125154057202922,0.027943505399648773,0.0254,-0.0316
56,2024-01-22 06:26:12,-67.800305,212.711759,0.05131761101220037,0.0379975065309934,0.0354,-0.0216
57,2024-01-22 06:26:14,-67.687548,212.676074,0.056399970719598076,0.04304655397922654,0.0403,-0.0167
58,2024-01-22 06:26:15,-67.631167,212.658331,0.04894634374740765,0.035584455890567,0.0328,-0.0242
59,2024-01-22 06:26:16,-67.574784,212.640653,0.0872630758655254,0.07389813149656886,0.0711,0.0141
60,2024-01-22 06:26:18,-67.462013,212.605494,0.026694531999634355,0.013305574097915003,0.0104,-0.0466
61,2024-01-22 06:26:19,-67.405625,212.58801,0.05108711492513801,0.037699511925284826,0.0348,-0.0222
62,2024-01-22 06:26:20,-67.349235,212.570591,0.05125722106858328,0.03785681154445561,0.0359,-0.0221
63,2024-01-22 06:26:22,-67.236451,212.535942,0.021180292321244326,0.007757400958760721,0.0057,-0.0523
64,2024-01-22 06:26:23,-67.180056,212.518711,0.036031874565754234,0.022599560501721447,0.0205,-0.0375
65,2024-01-22 06:26:24,-67.123659,212.501542,0.06488779992848556,0.051445269790936506,0.0493,-0.0087
66,2024-01-22 06:26:25,-67.067261,212.484434,0.05798809146874631,0.044545508074560355,0.0424,-0.0156
67,2024-01-22 06:26:26,-66.95446,212.450402,0.048449659681003676,0.03488622540338383,0.0322,-0.0258
68,2024-01-22 06:26:27,-66.898057,212.433476,0.05344033633427478,0.0398603378483819,0.0371,-0.0209
69,2024-01-22 06:26:28,-66.841652,212.41661,0.05318602934598518,0.03959768396444398,0.0368,-0.0212
70,2024-01-22 06:26:29,-66.785245,212.399803,0.06229489581459359,0.048686663430225034,0.0458,-0.0122
71,2024-01-22 06:26:30,-66.728837,212.383055,0.0814275265955365,0.06781333343700886,0.0659,0.0069
72,2024-01-22 06:26:31,-66.672428,212.366365,0.06614918406546777,0.052531034664294804,0.0506,-0.0084
73,2024-01-22 06:26:32,-66.616016,212.349733,0.028702850021600244,0.01507489728028974,0.0131,-0.0459
74,2024-01-22 06:26:34,-66.503189,212.316641,0.06799897715976286,0.054353464551829864,0.0523,-0.0067
