# RADS_ASC
# Created: 2024-06-03 09:30:31 UTC: rads2asc -S c2 -V time,lat,lon,sla -o c2_240212_noiono.asc --ymd 240212,240213 -X no_iono.xml
# Satellite = CRYOSAT2
# Phase     = a
# Cycle     = 179
# Pass      = 0441
# Equ_time  = 1234330521.478142 (2024-02-12 05:35:21.478142)
# Equ_lon   =  -53.000000
# Original  = CS_OFFL_SIR_GOP_2__20240212T051031_20240212T060007_C001.nc (TAI=2024-02-12T06:00:43.774297)
# Col  1    = time [seconds since 1985-01-01 00:00:00 UTC]
# Col  2    = latitude [degrees_north]
# Col  3    = longitude [degrees_east]
# Col  4    = sea level anomaly [m]
1234329396.265957 -67.998830 -145.426779  -0.0923
1234329397.209395 -67.942416 -145.444880  -0.1063
1234329398.152832 -67.886001 -145.462913  -0.0987
1234329399.096269 -67.829584 -145.480878  -0.0937
1234329400.039706 -67.773165 -145.498775  -0.0815
1234329400.983143 -67.716744 -145.516606  -0.0706
1234329401.926580 -67.660322 -145.534370  -0.1273
1234329402.870017 -67.603898 -145.552068  -0.0629
1234329403.813453 -67.547472 -145.569700  -0.1207
1234329405.700328 -67.434615 -145.604771  -0.0693
1234329406.643765 -67.378183 -145.622210  -0.0862
1234329408.530638 -67.265316 -145.656898  -0.0561
1234329409.474075 -67.208880 -145.674148  -0.1029
1234329410.417512 -67.152442 -145.691335  -0.1071
1234329411.360950 -67.096003 -145.708461  -0.0921
1234329412.304387 -67.039561 -145.725526  -0.0972
1234329413.247823 -66.983119 -145.742530  -0.0480
1234329414.191260 -66.926674 -145.759474  -0.1110
1234329415.134697 -66.870228 -145.776358  -0.1141
1234329416.078134 -66.813780 -145.793183  -0.1069
1234329417.021572 -66.757330 -145.809948  -0.1221
1234329417.965009 -66.700879 -145.826655  -0.0679
1234329418.908445 -66.644427 -145.843303  -0.1235
1234329419.851882 -66.587972 -145.859894  -0.1286
1234329420.795319 -66.531516 -145.876428  -0.1159
1234329421.738756 -66.475059 -145.892905  -0.1351
1234329422.682194 -66.418600 -145.909325  -0.1813
1234329423.625630 -66.362139 -145.925689  -0.1592
1234329424.569067 -66.305677 -145.941998  -0.0724
1234329425.512504 -66.249213 -145.958251  -0.1401
1234329426.455941 -66.192747 -145.974449  -0.1204
1234329427.399378 -66.136280 -145.990593  -0.1400
1234329428.342815 -66.079811 -146.006683  -0.1615
1234329429.286252 -66.023341 -146.022718  -0.1211
1234329430.229689 -65.966870 -146.038701  -0.1112
1234329431.173126 -65.910396 -146.054631  -0.1475
1234329432.116563 -65.853921 -146.070507  -0.1514
1234329433.060000 -65.797445 -146.086332  -0.1274
1234329434.003437 -65.740967 -146.102105  -0.1247
1234329434.946874 -65.684488 -146.117826  -0.1058
1234329435.890311 -65.628007 -146.133496  -0.1377
1234329436.833748 -65.571524 -146.149115  -0.1819
1234329437.777185 -65.515040 -146.164684  -0.1090
1234329438.720622 -65.458555 -146.180203  -0.1042
1234329439.664059 -65.402068 -146.195672  -0.1862
1234329440.607496 -65.345579 -146.211091  -0.0858
1234329441.550933 -65.289090 -146.226461  -0.1420
1234329442.494371 -65.232598 -146.241783  -0.1289
1234329443.437808 -65.176105 -146.257056  -0.1798
1234329444.381244 -65.119611 -146.272281  -0.1352
1234329445.324682 -65.063115 -146.287458  -0.1559
1234329446.268119 -65.006618 -146.302588  -0.1415
1234329447.211556 -64.950119 -146.317671  -0.1306
1234329448.154993 -64.893619 -146.332707  -0.1428
1234329449.098429 -64.837117 -146.347697  -0.1580
1234329450.041866 -64.780614 -146.362640  -0.1534
1234329450.985304 -64.724109 -146.377537  -0.1352
1234329451.928741 -64.667603 -146.392389  -0.1786
1234329452.872178 -64.611096 -146.407196  -0.1781
1234329453.815614 -64.554587 -146.421957  -0.1526
1234329454.759051 -64.498077 -146.436674  -0.1646
1234329455.702488 -64.441565 -146.451347  -0.1436
1234329456.645926 -64.385052 -146.465976  -0.1226
1234329457.589363 -64.328537 -146.480561  -0.1286
1234329458.532800 -64.272021 -146.495102  -0.1407
1234329459.476236 -64.215504 -146.509600  -0.2131
1234329460.419673 -64.158985 -146.524055  -0.1747
1234329461.363110 -64.102465 -146.538468  -0.1458
1234329462.306548 -64.045943 -146.552838  -0.1446
1234329463.249985 -63.989420 -146.567166  -0.1391
1234329464.193421 -63.932896 -146.581453  -0.1253
1234329465.136858 -63.876371 -146.595697  -0.1241
1234329466.080295 -63.819843 -146.609901  -0.1497
1234329467.023732 -63.763315 -146.624064  -0.1154
1234329467.967170 -63.706785 -146.638185  -0.1720
1234329468.910606 -63.650254 -146.652267  -0.1217
1234329469.854043 -63.593721 -146.666308  -0.1207
1234329470.797480 -63.537187 -146.680309  -0.1271
1234329471.740917 -63.480652 -146.694270  -0.1330
1234329472.684354 -63.424116 -146.708192  -0.1521
1234329473.627791 -63.367578 -146.722075  -0.1451
1234329474.571228 -63.311038 -146.735919  -0.1282
1234329475.514665 -63.254498 -146.749724  -0.1171
1234329476.458102 -63.197956 -146.763491  -0.1271
1234329477.401539 -63.141412 -146.777220  -0.1106
1234329478.344976 -63.084868 -146.790910  -0.1080
1234329479.288413 -63.028322 -146.804563  -0.1220
1234329480.231850 -62.971775 -146.818179  -0.1201
1234329481.175287 -62.915226 -146.831757  -0.1263
1234329482.118724 -62.858676 -146.845298  -0.0899
1234329483.062161 -62.802125 -146.858802  -0.0904
1234329484.005598 -62.745572 -146.872270  -0.0847
1234329484.949035 -62.689018 -146.885701  -0.1219
1234329485.892472 -62.632463 -146.899096  -0.0706
1234329486.835910 -62.575907 -146.912456  -0.1122
1234329487.779347 -62.519349 -146.925780  -0.1525
1234329488.722784 -62.462790 -146.939068  -0.1658
1234329489.666220 -62.406229 -146.952321  -0.0805
1234329490.609658 -62.349668 -146.965539  -0.1390
1234329491.553095 -62.293105 -146.978722  -0.0906
1234329492.496532 -62.236540 -146.991871  -0.1090
1234329493.439969 -62.179975 -147.004985  -0.1024
1234329494.383405 -62.123408 -147.018066  -0.1183
1234329495.326842 -62.066840 -147.031112  -0.1196
1234329496.270280 -62.010271 -147.044124  -0.0834
1234329497.213717 -61.953700 -147.057103  -0.1098
1234329498.157154 -61.897128 -147.070049  -0.0918
1234329499.100591 -61.840555 -147.082961  -0.1143
1234329500.044027 -61.783981 -147.095841  -0.1021
1234329500.987464 -61.727405 -147.108688  -0.1441
1234329501.930902 -61.670828 -147.121502  -0.0601
1234329502.874339 -61.614250 -147.134284  -0.1281
1234329503.817776 -61.557670 -147.147033  -0.1075
1234329504.761212 -61.501090 -147.159751  -0.1171
1234329505.704649 -61.444508 -147.172437  -0.1247
1234329506.648086 -61.387925 -147.185091  -0.1382
1234329507.591524 -61.331340 -147.197715  -0.1413
1234329508.534961 -61.274755 -147.210306  -0.1055
1234329509.478397 -61.218168 -147.222867  -0.1396
1234329510.421834 -61.161579 -147.235397  -0.0999
1234329511.365271 -61.104990 -147.247896  -0.0990
1234329512.308708 -61.048399 -147.260365  -0.1403
1234329513.252146 -60.991808 -147.272804  -0.1276
1234329514.195582 -60.935215 -147.285212  -0.1140
1234329515.139019 -60.878620 -147.297590  -0.1127
1234329516.082456 -60.822025 -147.309939  -0.0933
1234329517.025893 -60.765428 -147.322258  -0.1031
1234329517.969330 -60.708830 -147.334548  -0.0859
1234329518.912767 -60.652231 -147.346808  -0.1021
1234329519.856204 -60.595630 -147.359040  -0.1382
1234329520.799641 -60.539029 -147.371242  -0.1043
1234329521.743078 -60.482426 -147.383416  -0.1214
1234329522.686515 -60.425822 -147.395561  -0.1136
1234329523.629952 -60.369217 -147.407677  -0.0938
1234329524.573389 -60.312610 -147.419766  -0.0679
1234329525.516826 -60.256003 -147.431826  -0.1453
1234329526.460263 -60.199394 -147.443858  -0.1199
1234329527.403700 -60.142784 -147.455863  -0.1271
1234329528.347137 -60.086173 -147.467840  -0.1153
1234329529.290574 -60.029560 -147.479789  -0.1020
1234329530.234011 -59.972947 -147.491711  -0.1325
1234329531.177448 -59.916332 -147.503606  -0.1311
1234329532.120886 -59.859716 -147.515474  -0.1296
1234329533.064323 -59.803099 -147.527316  -0.0700
1234329534.007760 -59.746481 -147.539130  -0.1309
1234329534.951196 -59.689861 -147.550918  -0.1167
1234329535.894634 -59.633240 -147.562680  -0.1228
1234329536.838071 -59.576618 -147.574415  -0.0987
1234329537.781508 -59.519995 -147.586124  -0.1089
1234329538.724945 -59.463371 -147.597807  -0.0886
1234329539.668382 -59.406746 -147.609465  -0.0855
1234329540.611818 -59.350119 -147.621097  -0.1228
1234329541.555256 -59.293491 -147.632703  -0.1453
1234329542.498693 -59.236863 -147.644284  -0.1155
1234329543.442130 -59.180232 -147.655840  -0.1154
1234329544.385567 -59.123601 -147.667370  -0.1277
1234329545.329003 -59.066969 -147.678876  -0.0427
1234329546.272440 -59.010335 -147.690357  -0.0770
1234329547.215878 -58.953700 -147.701813  -0.0996
1234329548.159315 -58.897065 -147.713244  -0.0866
1234329549.102752 -58.840428 -147.724651  -0.1160
1234329550.046188 -58.783789 -147.736034  -0.1440
1234329550.989625 -58.727150 -147.747393  -0.0933
1234329551.933062 -58.670510 -147.758727  -0.0996
1234329552.876500 -58.613868 -147.770038  -0.0968
1234329553.819937 -58.557225 -147.781325  -0.1324
1234329554.763373 -58.500581 -147.792589  -0.1502
